Period,SM Axis
265.36,0.8669
264.14999,0.85
264.15,0.846
828,1.65
828,1.65
829,1.7
832.97,1.662
829.5,1.634
226.93,0.6813
225.79,0.6793
342.85,0.8972
345.43,0.902
1001.7,0 1.940000
1002.7,0 1.946000
1005.98854,0 1.988000
1001.70001,0 1.940000
655.6,1.34
655.59998,1.34
325.803,0.97
325,0.96
325.81,0.95
325.705,0.949
325.72,0.971
326.7,0.95
43.6,0.23
44.073,0.237
43.6,0.23
14.0726,0.1059
95.9446,0.3809
577.6,1.301
613.09998,1.37
613.1,1.37
572.4,1.3
152.6,0.54
0.989343,0.01545
0.9893436,0.0149
310.9,0.799
386.3,1.05
386.29999,1.06
5.3135,0.0529
13.8905,0.1004
29.158,0.1647
85.5073,0.3374
585.86,1.36
597.065,1.397
597.0643,1.3649
591.90002,1.37
577.9,1.359
10.894879,0.0745
10.894843,0.0736
18.80152,0.1037
18.80151,0.1058
615,1.36
615,1.36
317.58639,1.022
324,0.92
131.05,0.495
133.4031,0.5041
131.05,0.49
133.40355,0.502
3.60010616,0.0392
3.60010616,0.0392
3.6001053,0.04178
3.60011712,0.0407
4.5458841,0.04881
4.54586982,0.0475
4.54587844,0.0458
4.54587844,0.0458
4.54587844,0.0458
6.18940639,0.0562
6.18943952,0.0584
6.189392,0.06
6.18940639,0.0562
6.18940639,0.0562
7.74347614,0.0653
7.74347614,0.0653
7.743493,0.0696
7.74347801,0.0678
7.74347614,0.0653
9.74048418,0.0761
9.740486,0.0811
9.74048418,0.0761
9.74048508,0.079
9.74048418,0.0761
118.45,0.46
118.45,0.46
857.5,1.67
55.087,0.262
94.375,0.4176
94.35,0.4225
94.44,0.415
201.776,0.693
202.08,0.7023
201.99,0.689
2.38129,0.034
4.8026345,0.03144
4.0845,0.05
4.0845,0.05
225.62,0.81
225.789,0.813
229.9,0.82
225.67372,0.765
0.6691416,0.011557
960.41,1.837
18.20132,0.14
18.2008,0.138
18.20132,0.1388
18.201228,0.1376
18.20163,0.1388
18.2,0.13
2.817822,0.036
2.818049,0.0368
2.81805,0.04
4.88780308,0.053
4.88780026,0.052
4.88780244,0.05254
4.88780271,0.053
4.8878162,0.053
4.88781501,0.05259
4.88780271,0.053
4.88780271,0.053
25.8,0.17
25.827,0.17
25.8,0.18
25.827,0.176
75.523,0.36
75.455,0.3609
75.523,0.363
262.709,0.831
262.36,0.824
262.709,0.8079
252.7,0.79
262.53,0.831
262.70862,0.84
2.4919863,0.0287
32.9418,0.1506
32.939614,0.1429
32.940045,0.1591
32.939623,0.1429
32.94488,0.1491
32.93963,0.143
8.962,0.06
363.20001,1.02
363.2,1.02
5.436098,0.0341
16.5535,0.1254
51.2053,0.2663
271.6737,0.8098
4.137437,0.05
4.1374354,0.048
256.78,0.917
256.78,0.918
256.78,0.91
522.3,1.4
10.8985,0.102
10.901,0.104
5.75969,0.06412
5.75979,0.0641
16.357,0.12859
16.3579,0.1286
49.745,0.2699
49.748,0.2699
122.744,0.4929
